decimalLatitude,decimalLongitude,eventDate,eventid,fieldnotes,footprintWKT,geodeticdatum,maximumdepthinmeters,modified,occurrenceid,parenteventid
43.43491,-63.49997,2012-05-23T22:46:15Z/2017-02-22T15:17:00Z,urn:catalog:otn:OTN:HFX:HFX173-VR4-250332-1,,POINT(-63.49997 43.43491),EPSG:4326,175.0,2012-05-30,,
43.39898,-63.49997,2012-05-23T23:11:19Z/2017-02-22T15:50:00Z,urn:catalog:otn:OTN:HFX:HFX178-VR4-250253-1,,POINT(-63.49997 43.39898),EPSG:4326,174.0,2012-05-30,,
43.3919,-63.49997,2012-05-23T23:16:17Z/2017-02-22T15:58:00Z,urn:catalog:otn:OTN:HFX:HFX179-VR4-250293-1,,POINT(-63.49997 43.3919),EPSG:4326,171.0,2012-05-30,,
43.37737,-63.50005,2012-05-23T23:32:03Z/2017-02-22T17:05:00Z,urn:catalog:otn:OTN:HFX:HFX181-VR4-250214-1,,POINT(-63.50005 43.37737),EPSG:4326,166.0,2012-05-30,,
43.36992,-63.50012,2012-05-23T23:37:03Z/2017-02-22T17:15:00Z,urn:catalog:otn:OTN:HFX:HFX182-VR4-250232-1,,POINT(-63.50012 43.36992),EPSG:4326,165.0,2012-05-30,,
43.3631,-63.50003,2012-05-23T23:42:08Z/2017-02-22T17:24:00Z,urn:catalog:otn:OTN:HFX:HFX183-VR4-250331-1,,POINT(-63.50003 43.3631),EPSG:4326,172.0,2012-05-30,,
43.35567,-63.50009,2012-05-23T23:46:58Z/2017-02-22T17:34:00Z,urn:catalog:otn:OTN:HFX:HFX184-VR4-250320-1,,POINT(-63.50009 43.35567),EPSG:4326,169.0,2012-05-30,,
43.30535,-63.5,2012-05-24T00:22:04Z/2017-02-22T18:26:00Z,urn:catalog:otn:OTN:HFX:HFX191-VR4-250236-1,,POINT(-63.5 43.30535),EPSG:4326,169.0,2012-05-30,,
43.29809,-63.50006,2012-05-24T00:26:04Z/2017-02-22T18:35:00Z,urn:catalog:otn:OTN:HFX:HFX192-VR4-250295-1,,POINT(-63.50006 43.29809),EPSG:4326,170.0,2012-05-30,,
43.26901,-63.4998,2012-05-24T00:44:24Z/2017-02-22T19:05:00Z,urn:catalog:otn:OTN:HFX:HFX196-VR4-250342-1,,POINT(-63.4998 43.26901),EPSG:4326,169.0,2012-05-30,,
43.26221,-63.5,2012-05-24T00:49:46Z/2017-02-22T19:15:00Z,urn:catalog:otn:OTN:HFX:HFX197-VR4-250318-1,,POINT(-63.5 43.26221),EPSG:4326,173.0,2012-05-30,,
43.24799,-63.49988,2012-05-24T16:13:40Z/2017-02-22T19:38:00Z,urn:catalog:otn:OTN:HFX:HFX199-VR4-250224-1,,POINT(-63.49988 43.24799),EPSG:4326,168.0,2012-05-30,,
43.24071,-63.5,2012-05-24T16:08:03Z/2017-02-22T19:48:00Z,urn:catalog:otn:OTN:HFX:HFX200-VR4-250307-1,,POINT(-63.5 43.24071),EPSG:4326,168.0,2012-05-30,,
44.06625,-63.07414,,urn:catalog:otn:OTN:HFX:HFX073-250082-1,no response from AR,POINT(-63.07414 44.06625),EPSG:4326,208.0,2016-12-05,,
44.05354,-63.08357,,urn:catalog:otn:OTN:HFX:HFX075-250178-1,no response from AR,POINT(-63.08357 44.05354),EPSG:4326,202.0,2016-12-05,,
43.98365,-63.1366,,urn:catalog:otn:OTN:HFX:HFX086-250117-1,no response,POINT(-63.1366 43.98365),EPSG:4326,207.0,2016-12-05,,
44.43717,-63.48884,,urn:catalog:otn:DFO-BIO:HFX:HFX008-VR4-250161-6,"edgetech release did not respond.  VR4 coms confirm presence of mooring as upright, normal",POINT(-63.48884 44.43717),EPSG:4326,60.0,2014-06-10,,
44.26424,-63.29373,,urn:catalog:otn:OTN:HFX:HFX038-250027-2,,POINT(-63.29373 44.26424),EPSG:4326,145.0,2014-10-03,,
43.15449,-63.49789,,urn:catalog:otn:DFO-BIO:HFX:HFX212-VR4-250218-2,no response from acoustic release. Offloaded VR4,POINT(-63.49789 43.15449),EPSG:4326,147.0,2014-10-03,,
44.45519,-63.50775,2011-10-24T21:01:26Z/2016-01-01T00:00:00Z,urn:catalog:otn:OTN:HFX:HFX005-250047-5,acoustic release confirmed a release. This mooring was a C-ROM with rotodrum. Neighbouring stations had hevy fouling with large barnacles and we believe these barnacles jammed the rotodrum mechanism. ,POINT(-63.50775 44.45519),EPSG:4326,76.0,2018-01-25,,
43.34852,-63.50005,2012-05-23T23:51:58Z/2017-02-22T17:40:00Z,urn:catalog:otn:OTN:HFX:HFX185-VR4-250330-1,,POINT(-63.50005 43.34852),EPSG:4326,171.0,2012-05-30,,
43.31976,-63.49999,2012-05-24T00:12:38Z/2017-02-22T18:15:00Z,urn:catalog:otn:OTN:HFX:HFX189-VR4-250244-1,,POINT(-63.49999 43.31976),EPSG:4326,170.0,2012-05-30,,
44.39144,-63.43603,,urn:catalog:otn:DFO-BIO:HFX:HFX016-VR3-346-4,,POINT(-63.43603 44.39144),EPSG:4326,110.0,2013-01-28,,
44.33408,-63.3713,,urn:catalog:otn:DFO-BIO:HFX:HFX026-VR3-338-4,no response from AR,POINT(-63.3713 44.33408),EPSG:4326,132.0,2013-01-28,,
44.36267,-63.40261,2012-11-11T15:36:32Z/2016-02-22T18:10:36Z,urn:catalog:otn:DFO-BIO:HFX:HFX021-VR3-389-4,,POINT(-63.40261 44.36267),EPSG:4326,98.0,2016-12-05,,
44.34509,-63.38422,2012-11-11T16:22:01Z/2016-02-22T18:34:11Z,urn:catalog:otn:DFO-BIO:HFX:HFX024-VR3-353-4,,POINT(-63.38422 44.34509),EPSG:4326,115.0,2016-12-05,,
44.33924,-63.37781,2012-11-11T16:58:37Z/2016-02-22T18:40:44Z,urn:catalog:otn:DFO-BIO:HFX:HFX025-VR3-351-5,,POINT(-63.37781 44.33924),EPSG:4326,116.0,2016-12-05,,
44.32771,-63.36478,2012-11-11T17:26:11Z/2016-02-22T18:54:20Z,urn:catalog:otn:DFO-BIO:HFX:HFX027-VR3-345-4,,POINT(-63.36478 44.32771),EPSG:4326,123.0,2016-12-05,,
44.28733,-63.31953,2012-11-11T19:38:31Z/2014-06-22T14:25:00Z,urn:catalog:otn:DFO-BIO:HFX:HFX034-VR4-250062-3,,POINT(-63.31953 44.28733),EPSG:4326,170.0,2014-10-03,,
44.29906,-63.33237,2012-11-11T19:08:51Z/2016-02-22T19:50:13Z,urn:catalog:otn:DFO-BIO:HFX:HFX032-VR3-337-3,,POINT(-63.33237 44.29906),EPSG:4326,164.0,2016-12-05,,
43.13266,-63.49995,,urn:catalog:otn:OTN:HFX:HFX215-VR4-250276-1,,POINT(-63.49995 43.13266),EPSG:4326,158.0,2012-05-30,,
43.12533,-63.49983,,urn:catalog:otn:OTN:HFX:HFX216-VR4-250337-1,,POINT(-63.49983 43.12533),EPSG:4326,160.0,2012-05-30,,
43.4495,-63.50019,2012-05-23T22:35:53Z/2017-02-22T15:02:00Z,urn:catalog:otn:OTN:HFX:HFX171-VR4-250326-1,,POINT(-63.50019 43.4495),EPSG:4326,173.0,2012-05-30,,
43.29098,-63.50002,2012-05-24T00:30:41Z/2017-02-22T18:46:00Z,urn:catalog:otn:OTN:HFX:HFX193-VR4-250226-1,,POINT(-63.50002 43.29098),EPSG:4326,170.0,2012-05-30,,
43.28379,-63.50001,2012-05-24T00:35:29Z/2017-02-22T18:55:00Z,urn:catalog:otn:OTN:HFX:HFX194-VR4-250245-1,,POINT(-63.50001 43.28379),EPSG:4326,169.0,2012-05-30,,
